CustomerID,Recency,Frequency,Monetary,LastPurchaseDate,MonthsWithPurchases,Recency_score,Recency_range,Frequency_score,Frequency_range,Monetary_score,Monetary_range,Final_Score,Business_Category,CutoffDate
12836,59,5,562.72,2024-10-11 15:10:00,4,4,"(40.0, 95.999)",4,"(5.0, 7.999)",5,"(319.69, 18543.791)",445,Platino,2024-12-10
12837,173,1,70.05,2024-06-19 16:07:00,1,2,"(162.0, 235.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",222,Bronce,2024-12-10
12838,33,2,183.32,2024-11-06 12:20:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",3,"(123.98, 211.349)",523,Plata,2024-12-10
12839,2,14,416.47,2024-12-07 12:33:00,10,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
12840,143,4,97.08,2024-07-19 09:29:00,4,3,"(96.0, 161.999)",3,"(3.0, 4.999)",2,"(55.879999999999995, 123.979)",332,Ocasional,2024-12-10
12841,4,24,843.53,2024-12-05 11:13:00,13,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
12842,70,2,131.14000000000001,2024-09-30 15:33:00,2,4,"(40.0, 95.999)",2,"(1.0, 2.999)",3,"(123.98, 211.349)",423,Plata,2024-12-10
12843,65,8,310.86,2024-10-05 12:09:00,5,4,"(40.0, 95.999)",5,"(8.0, 211.001)",4,"(211.35, 319.689)",454,Platino,2024-12-10
12844,29,2,108.65,2024-11-10 13:31:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",522,Plata,2024-12-10
12845,267,4,41.49,2024-03-17 13:34:00,2,1,"(236.0, 374.001)",3,"(3.0, 4.999)",1,"(-0.001, 55.879)",131,Abandonador,2024-12-10
12847,22,1,67.2,2024-11-17 13:16:00,1,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",522,Plata,2024-12-10
12849,31,2,120.07,2024-11-08 13:41:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",522,Plata,2024-12-10
12851,96,1,70.72,2024-09-04 12:41:00,1,3,"(96.0, 161.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",322,Bronce,2024-12-10
12852,295,1,37.0,2024-02-18 08:47:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
12853,134,6,226.01,2024-07-28 11:29:00,3,3,"(96.0, 161.999)",4,"(5.0, 7.999)",4,"(211.35, 319.689)",344,Oro,2024-12-10
12854,78,3,209.93,2024-09-22 12:15:00,3,4,"(40.0, 95.999)",3,"(3.0, 4.999)",3,"(123.98, 211.349)",433,Plata,2024-12-10
12855,373,1,3.8000000000000003,2023-12-02 09:37:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
12856,7,6,542.54,2024-12-02 10:52:00,3,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",5,"(319.69, 18543.791)",545,Platino,2024-12-10
12857,210,2,121.5,2024-05-13 10:20:00,2,2,"(162.0, 235.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",222,Bronce,2024-12-10
12863,52,1,16.87,2024-10-18 14:15:00,1,4,"(40.0, 95.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",421,Ocasional,2024-12-10
12864,138,1,1.97,2024-07-24 13:03:00,1,3,"(96.0, 161.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",321,Ocasional,2024-12-10
12867,26,7,414.93,2024-11-13 15:30:00,7,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",5,"(319.69, 18543.791)",545,Platino,2024-12-10
12868,185,6,208.53,2024-06-07 10:42:00,5,2,"(162.0, 235.999)",4,"(5.0, 7.999)",3,"(123.98, 211.349)",243,Abandonador,2024-12-10
12871,84,2,20.72,2024-09-16 15:07:00,2,4,"(40.0, 95.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",421,Ocasional,2024-12-10
12872,327,2,138.43,2024-01-17 10:52:00,2,1,"(236.0, 374.001)",2,"(1.0, 2.999)",3,"(123.98, 211.349)",123,Abandonador,2024-12-10
12873,282,1,11.05,2024-03-02 14:58:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
12875,143,2,0.34,2024-07-19 15:30:00,2,3,"(96.0, 161.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",321,Ocasional,2024-12-10
12877,3,12,210.05,2024-12-06 10:30:00,11,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",3,"(123.98, 211.349)",553,Oro,2024-12-10
12878,236,2,58.1,2024-04-17 13:07:00,2,1,"(236.0, 374.001)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",122,Bronce,2024-12-10
12879,44,3,18.32,2024-10-26 12:24:00,2,4,"(40.0, 95.999)",3,"(3.0, 4.999)",1,"(-0.001, 55.879)",431,Bronce,2024-12-10
12881,275,1,222.3,2024-03-09 11:44:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",4,"(211.35, 319.689)",124,Abandonador,2024-12-10
12882,9,2,48.29,2024-11-30 16:18:00,1,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",521,Bronce,2024-12-10
12883,24,4,204.49,2024-11-15 09:32:00,2,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",3,"(123.98, 211.349)",533,Plata,2024-12-10
12884,88,1,107.73,2024-09-12 13:10:00,1,4,"(40.0, 95.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",422,Bronce,2024-12-10
12885,63,3,166.48,2024-10-07 13:40:00,2,4,"(40.0, 95.999)",3,"(3.0, 4.999)",3,"(123.98, 211.349)",433,Plata,2024-12-10
12886,67,2,199.24,2024-10-03 10:09:00,2,4,"(40.0, 95.999)",2,"(1.0, 2.999)",3,"(123.98, 211.349)",423,Plata,2024-12-10
12888,214,2,29.48,2024-05-09 16:02:00,2,2,"(162.0, 235.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",221,Ocasional,2024-12-10
12890,24,1,90.86,2024-11-15 17:26:00,1,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",522,Plata,2024-12-10
12891,185,3,1.1,2024-06-07 12:31:00,3,2,"(162.0, 235.999)",3,"(3.0, 4.999)",1,"(-0.001, 55.879)",231,Bronce,2024-12-10
12893,30,1,49.02,2024-11-09 12:34:00,1,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",521,Bronce,2024-12-10
12895,42,2,56.3,2024-10-28 13:51:00,2,4,"(40.0, 95.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",422,Bronce,2024-12-10
12897,204,2,10.8,2024-05-19 12:13:00,2,2,"(162.0, 235.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",221,Ocasional,2024-12-10
12901,8,28,163.1,2024-12-01 10:07:00,10,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",3,"(123.98, 211.349)",553,Oro,2024-12-10
12902,264,1,33.82,2024-03-20 12:06:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
12904,18,2,167.56,2024-11-21 14:34:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",3,"(123.98, 211.349)",523,Plata,2024-12-10
12906,11,4,145.63,2024-11-28 09:55:00,2,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",3,"(123.98, 211.349)",533,Plata,2024-12-10
12908,176,2,1.25,2024-06-16 15:39:00,2,2,"(162.0, 235.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",221,Ocasional,2024-12-10
12909,39,5,542.02,2024-10-31 12:43:00,4,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",5,"(319.69, 18543.791)",545,Platino,2024-12-10
12910,23,8,107.86,2024-11-16 14:28:00,6,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",2,"(55.879999999999995, 123.979)",552,Plata,2024-12-10
12912,2,5,54.16,2024-12-07 08:55:00,3,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",1,"(-0.001, 55.879)",541,Bronce,2024-12-10
12913,4,5,130.08,2024-12-05 12:11:00,5,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",3,"(123.98, 211.349)",543,Oro,2024-12-10
12915,148,2,101.1,2024-07-14 11:34:00,2,3,"(96.0, 161.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",322,Bronce,2024-12-10
12916,138,4,402.74,2024-07-24 10:35:00,4,3,"(96.0, 161.999)",3,"(3.0, 4.999)",5,"(319.69, 18543.791)",335,Plata,2024-12-10
12917,128,1,4.95,2024-08-03 16:42:00,1,3,"(96.0, 161.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",321,Ocasional,2024-12-10
12919,8,6,112.78,2024-12-01 13:47:00,5,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",2,"(55.879999999999995, 123.979)",542,Plata,2024-12-10
12920,17,1,61.93,2024-11-22 15:05:00,1,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",522,Plata,2024-12-10
12921,9,36,1115.9,2024-11-30 16:22:00,11,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
12922,161,1,26.29,2024-07-01 15:35:00,1,3,"(96.0, 161.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",321,Ocasional,2024-12-10
12923,64,1,50.33,2024-10-06 16:20:00,1,4,"(40.0, 95.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",421,Ocasional,2024-12-10
12924,88,4,94.2,2024-09-12 13:55:00,4,4,"(40.0, 95.999)",3,"(3.0, 4.999)",2,"(55.879999999999995, 123.979)",432,Bronce,2024-12-10
12925,4,2,72.38,2024-12-05 11:11:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",522,Plata,2024-12-10
12928,35,5,85.36,2024-11-04 14:24:00,5,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",2,"(55.879999999999995, 123.979)",542,Plata,2024-12-10
12929,312,1,35.2,2024-02-01 12:08:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
12930,78,2,57.27,2024-09-22 15:18:00,2,4,"(40.0, 95.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",422,Bronce,2024-12-10
12931,21,15,126.91,2024-11-18 12:39:00,8,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",3,"(123.98, 211.349)",553,Oro,2024-12-10
12933,24,3,169.2,2024-11-15 16:38:00,3,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",3,"(123.98, 211.349)",533,Plata,2024-12-10
12935,2,7,198.85,2024-12-07 17:25:00,6,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",3,"(123.98, 211.349)",543,Oro,2024-12-10
12936,17,4,81.7,2024-11-22 17:32:00,2,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",2,"(55.879999999999995, 123.979)",532,Plata,2024-12-10
12937,15,4,196.54,2024-11-24 15:05:00,4,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",3,"(123.98, 211.349)",533,Plata,2024-12-10
12938,25,1,11.44,2024-11-14 11:21:00,1,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",521,Bronce,2024-12-10
12939,64,8,75.45,2024-10-06 14:33:00,6,4,"(40.0, 95.999)",5,"(8.0, 211.001)",2,"(55.879999999999995, 123.979)",452,Plata,2024-12-10
12940,54,2,257.48,2024-10-16 12:09:00,2,4,"(40.0, 95.999)",2,"(1.0, 2.999)",4,"(211.35, 319.689)",424,Plata,2024-12-10
12942,131,3,232.89000000000001,2024-07-31 14:39:00,3,3,"(96.0, 161.999)",3,"(3.0, 4.999)",4,"(211.35, 319.689)",334,Plata,2024-12-10
12944,35,2,81.52,2024-11-04 11:04:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",522,Plata,2024-12-10
12945,289,1,62.05,2024-02-24 14:15:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",122,Bronce,2024-12-10
12947,143,6,231.04,2024-07-19 10:06:00,5,3,"(96.0, 161.999)",4,"(5.0, 7.999)",4,"(211.35, 319.689)",344,Oro,2024-12-10
12948,16,7,222.85,2024-11-23 17:10:00,5,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",4,"(211.35, 319.689)",544,Platino,2024-12-10
12949,30,8,429.6,2024-11-09 11:25:00,4,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
12950,2,3,10.69,2024-12-07 13:17:00,2,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",1,"(-0.001, 55.879)",531,Bronce,2024-12-10
12951,8,6,162.7,2024-12-01 12:14:00,5,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",3,"(123.98, 211.349)",543,Oro,2024-12-10
12952,5,4,240.44,2024-12-04 10:35:00,3,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",4,"(211.35, 319.689)",534,Oro,2024-12-10
12953,9,1,74.5,2024-11-30 09:24:00,1,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",522,Plata,2024-12-10
12955,1,11,231.73,2024-12-08 16:29:00,8,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",4,"(211.35, 319.689)",554,Platino,2024-12-10
12956,307,1,70.44,2024-02-06 16:08:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",122,Bronce,2024-12-10
12957,9,8,443.96,2024-11-30 09:53:00,6,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
12962,7,2,44.42,2024-12-02 15:55:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",521,Bronce,2024-12-10
12963,8,8,247.99,2024-12-01 12:55:00,5,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",4,"(211.35, 319.689)",554,Platino,2024-12-10
12965,89,1,204.98,2024-09-11 15:31:00,1,4,"(40.0, 95.999)",2,"(1.0, 2.999)",3,"(123.98, 211.349)",423,Plata,2024-12-10
12966,9,1,31.73,2024-11-30 12:38:00,1,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",521,Bronce,2024-12-10
12967,359,2,85.6,2023-12-16 19:10:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",122,Bronce,2024-12-10
12968,112,1,15.2,2024-08-19 15:44:00,1,3,"(96.0, 161.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",321,Ocasional,2024-12-10
12970,7,4,182.56,2024-12-02 14:30:00,2,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",3,"(123.98, 211.349)",533,Plata,2024-12-10
12971,3,83,658.35,2024-12-06 12:20:00,13,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
12974,197,1,42.75,2024-05-26 09:33:00,1,2,"(162.0, 235.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",221,Ocasional,2024-12-10
12976,211,1,17.54,2024-05-12 09:55:00,1,2,"(162.0, 235.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",221,Ocasional,2024-12-10
12977,156,1,36.769999999999996,2024-07-06 16:40:00,1,3,"(96.0, 161.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",321,Ocasional,2024-12-10
12980,157,9,314.70000000000005,2024-07-05 09:34:00,7,3,"(96.0, 161.999)",5,"(8.0, 211.001)",4,"(211.35, 319.689)",354,Oro,2024-12-10
12981,29,2,26.68,2024-11-10 12:00:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",521,Bronce,2024-12-10
12982,242,1,33.99,2024-04-11 11:51:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
12984,18,1,11.65,2024-11-21 12:37:00,1,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",521,Bronce,2024-12-10
12985,0,2,97.54,2024-12-09 10:46:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",522,Plata,2024-12-10
12987,73,2,167.55,2024-09-27 12:03:00,2,4,"(40.0, 95.999)",2,"(1.0, 2.999)",3,"(123.98, 211.349)",423,Plata,2024-12-10
12988,293,1,150.04,2024-02-20 14:31:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",3,"(123.98, 211.349)",123,Abandonador,2024-12-10
12989,3,15,182.81,2024-12-06 15:28:00,11,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",3,"(123.98, 211.349)",553,Oro,2024-12-10
12990,31,3,10.14,2024-11-08 13:01:00,3,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",1,"(-0.001, 55.879)",531,Bronce,2024-12-10
12991,23,2,30.98,2024-11-16 15:34:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",521,Bronce,2024-12-10
12993,23,4,41.07,2024-11-16 15:49:00,4,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",1,"(-0.001, 55.879)",531,Bronce,2024-12-10
12994,4,3,203.04,2024-12-05 15:43:00,3,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",3,"(123.98, 211.349)",533,Plata,2024-12-10
12995,85,1,4.8100000000000005,2024-09-15 15:44:00,1,4,"(40.0, 95.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",421,Ocasional,2024-12-10
12997,22,4,157.11,2024-11-17 15:47:00,4,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",3,"(123.98, 211.349)",533,Plata,2024-12-10
12999,196,3,50.79,2024-05-27 13:24:00,2,2,"(162.0, 235.999)",3,"(3.0, 4.999)",1,"(-0.001, 55.879)",231,Bronce,2024-12-10
13000,106,3,68.17,2024-08-25 10:43:00,3,3,"(96.0, 161.999)",3,"(3.0, 4.999)",2,"(55.879999999999995, 123.979)",332,Ocasional,2024-12-10
13001,4,13,577.46,2024-12-05 14:51:00,9,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
13002,319,1,16.849999999999998,2024-01-25 15:18:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
13003,105,3,13.5,2024-08-26 10:50:00,3,3,"(96.0, 161.999)",3,"(3.0, 4.999)",1,"(-0.001, 55.879)",331,Ocasional,2024-12-10
13004,11,18,605.65,2024-11-28 11:27:00,11,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
13005,173,2,74.95,2024-06-19 10:53:00,2,2,"(162.0, 235.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",222,Bronce,2024-12-10
13006,56,1,21.18,2024-10-14 13:49:00,1,4,"(40.0, 95.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",421,Ocasional,2024-12-10
13008,324,1,13.639999999999999,2024-01-20 14:24:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
13011,373,1,12.65,2023-12-02 17:22:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
13012,9,8,239.32,2024-11-30 13:05:00,5,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",4,"(211.35, 319.689)",554,Platino,2024-12-10
13013,1,13,546.32,2024-12-08 15:01:00,9,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
13014,10,10,479.19,2024-11-29 12:27:00,6,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
13015,53,5,663.94,2024-10-17 13:19:00,3,4,"(40.0, 95.999)",4,"(5.0, 7.999)",5,"(319.69, 18543.791)",445,Platino,2024-12-10
13016,73,3,110.24000000000001,2024-09-27 14:08:00,2,4,"(40.0, 95.999)",3,"(3.0, 4.999)",2,"(55.879999999999995, 123.979)",432,Bronce,2024-12-10
13017,7,1,4.25,2024-12-02 15:53:00,1,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",521,Nuevo,2024-12-10
13018,16,26,704.05,2024-11-23 13:28:00,10,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
13021,4,9,375.87,2024-12-05 16:37:00,7,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
13023,64,2,128.4,2024-10-06 16:27:00,2,4,"(40.0, 95.999)",2,"(1.0, 2.999)",3,"(123.98, 211.349)",423,Plata,2024-12-10
13026,1,5,21.27,2024-12-08 16:58:00,5,5,"(-0.001, 39.999)",4,"(5.0, 7.999)",1,"(-0.001, 55.879)",541,Bronce,2024-12-10
13027,113,6,6.4,2024-08-18 09:39:00,5,3,"(96.0, 161.999)",4,"(5.0, 7.999)",1,"(-0.001, 55.879)",341,Bronce,2024-12-10
13028,22,2,28.66,2024-11-17 11:10:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",521,Bronce,2024-12-10
13029,30,3,70.58,2024-11-09 09:13:00,3,5,"(-0.001, 39.999)",3,"(3.0, 4.999)",2,"(55.879999999999995, 123.979)",532,Plata,2024-12-10
13030,11,2,232.81,2024-11-28 14:30:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",4,"(211.35, 319.689)",524,Plata,2024-12-10
13032,52,2,181.23,2024-10-18 15:54:00,2,4,"(40.0, 95.999)",2,"(1.0, 2.999)",3,"(123.98, 211.349)",423,Plata,2024-12-10
13033,358,1,17.2,2023-12-17 14:23:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
13034,54,2,72.22,2024-10-16 12:21:00,2,4,"(40.0, 95.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",422,Bronce,2024-12-10
13035,73,2,35.34,2024-09-27 08:57:00,2,4,"(40.0, 95.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",421,Ocasional,2024-12-10
13037,138,3,131.85,2024-07-24 15:46:00,3,3,"(96.0, 161.999)",3,"(3.0, 4.999)",3,"(123.98, 211.349)",333,Bronce,2024-12-10
13038,80,3,72.03,2024-09-20 14:37:00,3,4,"(40.0, 95.999)",3,"(3.0, 4.999)",2,"(55.879999999999995, 123.979)",432,Bronce,2024-12-10
13040,8,2,88.44,2024-12-01 10:38:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",522,Plata,2024-12-10
13043,273,1,47.12,2024-03-11 14:52:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",121,Abandonador,2024-12-10
13044,292,1,70.84,2024-02-21 15:20:00,1,1,"(236.0, 374.001)",2,"(1.0, 2.999)",2,"(55.879999999999995, 123.979)",122,Bronce,2024-12-10
13045,99,1,21.59,2024-09-01 15:04:00,1,3,"(96.0, 161.999)",2,"(1.0, 2.999)",1,"(-0.001, 55.879)",321,Ocasional,2024-12-10
13046,30,2,205.05,2024-11-09 08:36:00,2,5,"(-0.001, 39.999)",2,"(1.0, 2.999)",3,"(123.98, 211.349)",523,Plata,2024-12-10
13047,31,9,495.69,2024-11-08 12:06:00,8,5,"(-0.001, 39.999)",5,"(8.0, 211.001)",5,"(319.69, 18543.791)",555,Platino,2024-12-10
